stop_pct,mult,trades,win_rate,total_pnl,avg_pnl,max_dd
0.005,1.5,236,47.0,1213.0,5.0,319.0
0.01,1.5,236,47.0,1203.0,5.0,320.0
0.001,1.5,236,46.2,1140.0,5.0,301.0
0.002,1.5,236,46.2,1076.0,5.0,309.0
0.01,3.0,236,52.5,1051.0,4.0,312.0
0.005,3.0,236,52.5,1051.0,4.0,312.0
0.003,1.5,236,46.2,1046.0,4.0,309.0
0.01,2.5,236,51.7,1041.0,4.0,312.0
0.005,2.5,236,51.7,1027.0,4.0,312.0
0.003,3.0,236,51.7,873.0,4.0,302.0
0.003,2.5,236,50.8,831.0,4.0,302.0
0.001,3.0,236,50.8,805.0,3.0,293.0
0.01,2.0,236,49.6,798.0,3.0,312.0
0.01,1.0,234,38.9,798.0,3.0,238.0
0.005,2.0,236,49.6,784.0,3.0,312.0
0.005,1.0,234,38.9,783.0,3.0,218.0
0.002,3.0,236,51.3,783.0,3.0,310.0
0.001,2.5,236,50.0,754.0,3.0,293.0
0.001,1.0,234,38.0,750.0,3.0,258.0
0.002,2.5,236,50.4,737.0,3.0,301.0
0.002,1.0,234,38.0,706.0,3.0,263.0
0.003,1.0,234,38.0,659.0,3.0,266.0
0.001,2.0,236,48.3,614.0,3.0,395.0
0.002,2.0,236,48.7,601.0,3.0,425.0
0.003,2.0,236,48.7,590.0,2.0,404.0
