,symbol,multiplier,trades,wins,losses,win_rate_pct,total_pnl,avg_pnl_per_trade,best_trade,worst_trade,final_balance
1,AMC,1.0,13,9,4,69.2,85.93,6.61,23.31,-14.55,2085.93
2,IONQ,1.5,12,9,3,75.0,81.03,6.75,25.9,-20.1,2081.03
3,COIN,1.5,10,9,1,90.0,71.9,7.19,15.06,-3.4,2071.9
4,SMCI,1.5,12,10,2,83.3,64.37,5.36,17.42,-16.48,2064.37
5,HOOD,1.5,8,6,2,75.0,57.77,7.22,38.64,-3.92,2057.77
6,GME,1.0,17,13,4,76.5,44.36,2.61,13.86,-7.77,2044.36
7,SOUN,1.0,14,8,6,57.1,30.52,2.18,27.36,-32.0,2030.52
8,TSLA,1.5,9,6,3,66.7,24.75,2.75,12.21,-1.26,2024.75
9,DKNG,2.0,16,8,8,50.0,20.0,1.25,17.82,-12.8,2020.0
10,QQQ,1.5,11,8,3,72.7,19.57,1.78,4.79,-3.59,2019.57
11,AMD,1.5,6,4,2,66.7,19.04,3.17,8.71,-9.2,2019.04
12,RBLX,1.5,11,5,6,45.5,16.86,1.53,21.78,-15.52,2016.86
13,MSFT,1.5,6,6,0,100.0,15.33,2.56,5.9,0.38,2015.33
14,META,1.5,11,8,3,72.7,12.08,1.1,7.87,-4.65,2012.08
15,AVGO,1.5,7,5,2,71.4,8.42,1.2,6.61,-4.36,2008.42
16,AAPL,1.5,12,7,5,58.3,7.79,0.65,3.72,-2.61,2007.79
17,CLSK,1.0,13,6,7,46.2,5.78,0.44,16.8,-14.4,2005.78
18,IWM,1.5,19,10,9,52.6,3.68,0.19,2.28,-1.75,2003.68
19,GOOGL,1.5,9,6,3,66.7,1.9,0.21,2.63,-2.62,2001.9
20,SOFI,1.5,11,6,5,54.5,-2.42,-0.22,20.7,-27.59,1997.58
